"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R6","0402_R","-5.08mm","31.623mm","-5.08mm","31.623mm","-5.08mm","31.198mm","B","90","1KΩ"
"R5","0402_R","-5.08mm","27.788mm","-5.08mm","27.769mm","-5.08mm","27.344mm","B","90","1KΩ"
"R4","0402_R","1.93mm","26.543mm","1.949mm","26.543mm","1.524mm","26.543mm","B","0","33Ω"
"R3","0402_R","-7.747mm","26.035mm","-7.747mm","26.035mm","-7.322mm","26.035mm","B","180","33Ω"
"R2","0402_R","-7.747mm","27.178mm","-7.747mm","27.178mm","-7.322mm","27.178mm","B","180","100KΩ"
"R1","0402_R","-7.747mm","24.892mm","-7.747mm","24.892mm","-7.322mm","24.892mm","B","180","100KΩ"
"Q5","SOT-23(SOT-23-3)","33.833mm","5.715mm","33.655mm","5.715mm","34.905mm","4.765mm","T","0","SS8050 Y1"
"Q4","SOT-23(SOT-23-3)","31.699mm","2.413mm","31.877mm","2.413mm","30.627mm","3.363mm","T","180","SS8050 Y1"
"Q3","DFN-8_L5.5-W5.2-P1.27-LS6.0-BL-EP2","1.727mm","17.348mm","1.74mm","16.421mm","-0.184mm","18.996mm","B","0","WSD6056DN56"
"Q2","SOT-23","-7.239mm","29.667mm","-7.239mm","29.845mm","-6.289mm","28.595mm","B","270","PMBT3906"
"Q1","DFN-8_L5.8-W4.9-P1.27-LS6.0-BL-1","0mm","30.099mm","-0.302mm","30.097mm","-2.761mm","28.192mm","B","90","WSD50P10ADN56"
"P2","XT30U公头","-6.401mm","9.398mm","-3.89mm","9.398mm","-8.89mm","9.398mm","T","180","电源"
"P1","XT30U","-6.401mm","15.621mm","-3.89mm","15.621mm","-8.89mm","15.621mm","T","180","电源"
"LED3","LED0402-RD","32.639mm","30.353mm","32.639mm","30.353mm","32.639mm","29.815mm","T","90","Y"
"LED2","LED0402-RD","31.115mm","30.353mm","31.115mm","30.353mm","31.115mm","29.815mm","T","90","G"
"LED1","LED0402-RD","34.163mm","30.353mm","34.163mm","30.353mm","34.163mm","29.815mm","T","90","B"
"L2","IND-SMD_L4.3-W4.0_GPSR0420","16.637mm","27.305mm","16.637mm","27.305mm","16.637mm","29.155mm","B","270","4.7uH"
"L1","IND-SMD_L5.5-W5.0","14.859mm","2.032mm","14.859mm","2.032mm","14.859mm","4.382mm","B","270","3.3uH"
"H15","CONN-SMD_4P-P1.25_GH1.25-4PLI","29.058mm","34.544mm","29.083mm","34.819mm","30.915mm","32.894mm","T","180","GH1.25-4PLW"
"H14","CONN-SMD_4P-P1.25_GH1.25-4PLI","43.129mm","34.544mm","43.18mm","34.819mm","45.012mm","32.894mm","T","180","GH1.25-4PLW"
"H13","CONN-SMD_4P-P1.25_GH1.25-4PLI","-7.163mm","34.544mm","-7.112mm","34.819mm","-5.28mm","32.894mm","T","180","GH1.25-4PLW"
"H11","CONN-SMD_4P-P1.25_GH1.25-4PLI","6.96mm","34.544mm","6.985mm","34.819mm","8.817mm","32.894mm","T","180","GH1.25-4PLW"
"H10","CONN-SMD_GH1.25-3P","45.06mm","19.914mm","45.061mm","19.896mm","43.386mm","18.614mm","T","90","GH1.25-3PW"
"H9","CONN-TH_2P-P1.25_XUNPU_WAFER-GH1.25-2PLB","21.336mm","34.544mm","21.336mm","34.544mm","21.961mm","32.869mm","T","180","GH1.25-2PW"
"H8","CONN-TH_2P-P1.25_XUNPU_WAFER-GH1.25-2PLB","14.732mm","34.544mm","14.732mm","34.544mm","15.357mm","32.869mm","T","180","GH1.25-2PW"
"H7","1*3P_xiejiao","42.672mm","9.525mm","42.672mm","9.525mm","45.212mm","9.525mm","T","180","H2.54_1*3P"
"H6","1*3P_xiejiao","42.672mm","13.843mm","42.672mm","13.843mm","45.212mm","13.843mm","T","180","H2.54_1*3P"
"H5","IDC-TH_8P-P1.27-S1.27_L5.7-W8.1","-7.62mm","22.098mm","-7.62mm","22.098mm","-5.715mm","22.733mm","T","0","3131-08SG0BK00T1"
"H4","CONN-SMD_4P-P1.25_GH1.25-4PLI","-8.865mm","1.981mm","-9.144mm","2.032mm","-7.219mm","3.864mm","T","270","GH1.25-4PLW"
"H3","1*3P_xiejiao","42.672mm","5.207mm","42.672mm","5.207mm","45.212mm","5.207mm","T","180","H2.54_1*3P"
"H2","CONN-SMD_4P-P1.25_53261-0471","14.351mm","1.143mm","14.351mm","1.143mm","12.476mm","2.593mm","T","0","53261-0471"
"H1","CONN-SMD_2P-P1.25_53398-0271","43.307mm","0.635mm","43.307mm","0.635mm","42.682mm","2.01mm","T","0","53398-0271"
"FPC1","FPC-SMD_8P-P0.50_LW05202-08","30.353mm","9.042mm","30.353mm","10.795mm","32.103mm","8.057mm","B","0","LW05202-08"
"FB1","0805_L","1.778mm","9.779mm","1.778mm","9.779mm","1.778mm","8.889mm","B","90","100Ω ±25% 100MHz"
"F1","F1210","21.844mm","22.987mm","21.844mm","22.987mm","20.244mm","22.987mm","B","0","1.5A"
"D36","SOD-882_L1.0-W0.6-BI","41.656mm","35.052mm","41.656mm","35.052mm","41.656mm","35.377mm","B","270","PESD5V0F1BL,315"
"D35","SOD-882_L1.0-W0.6-BI","47.117mm","35.128mm","47.117mm","35.123mm","47.117mm","35.448mm","B","270","PESD5V0F1BL,315"
"D34","SOD-882_L1.0-W0.6-BI","-7.366mm","30.607mm","-7.366mm","30.607mm","-7.366mm","30.282mm","T","90","PESD5V0F1BL,315"
"D33","SOD-882_L1.0-W0.6-BI","-4.191mm","30.607mm","-4.191mm","30.607mm","-4.191mm","30.282mm","T","90","PESD5V0F1BL,315"
"D32","SOD-882_L1.0-W0.6-BI","29.464mm","30.607mm","29.464mm","30.607mm","29.464mm","30.932mm","T","270","PESD5V0F1BL,315"
"D31","SOD-882_L1.0-W0.6-BI","26.289mm","30.607mm","26.289mm","30.607mm","26.289mm","30.932mm","T","270","PESD5V0F1BL,315"
"D30","SOD-882_L1.0-W0.6-BI","40.513mm","31.242mm","40.513mm","31.242mm","40.838mm","31.242mm","T","180","PESD5V0F1BL,315"
"D29","SOD-882_L1.0-W0.6-BI","7.366mm","30.607mm","7.366mm","30.607mm","7.366mm","30.282mm","T","90","PESD5V0F1BL,315"
"D28","SOD-882_L1.0-W0.6-BI","4.191mm","30.607mm","4.191mm","30.607mm","4.191mm","30.282mm","T","90","PESD5V0F1BL,315"
"D27","SOD-882_L1.0-W0.6-BI","40.513mm","25.781mm","40.513mm","25.781mm","40.838mm","25.781mm","T","180","PESD5V0F1BL,315"
"D26","SOD-882_L1.0-W0.6-BI","40.513mm","17.653mm","40.513mm","17.653mm","40.838mm","17.653mm","T","180","PESD5V0F1BL,315"
"D25","SOD-882_L1.0-W0.6-BI","40.513mm","23.114mm","40.513mm","23.114mm","40.838mm","23.114mm","T","180","PESD5V0F1BL,315"
"D24","SOD-882_L1.0-W0.6-BI","35.56mm","8.382mm","35.56mm","8.382mm","35.56mm","8.707mm","T","270","PESD5V0F1BL,315"
"D23","SOD-882_L1.0-W0.6-BI","35.56mm","10.592mm","35.56mm","10.597mm","35.56mm","10.272mm","T","90","PESD5V0F1BL,315"
"D22","SOD-882_L1.0-W0.6-BI","19.685mm","30.607mm","19.685mm","30.607mm","19.685mm","30.282mm","T","90","PESD5V0F1BL,315"
"D21","SOD-882_L1.0-W0.6-BI","22.86mm","30.607mm","22.86mm","30.607mm","22.86mm","30.282mm","T","90","PESD5V0F1BL,315"
"D20","SOD-882_L1.0-W0.6-BI","13.081mm","30.607mm","13.081mm","30.607mm","13.081mm","30.282mm","T","90","PESD5V0F1BL,315"
"D19","SOD-882_L1.0-W0.6-BI","16.256mm","30.607mm","16.256mm","30.607mm","16.256mm","30.282mm","T","90","PESD5V0F1BL,315"
"D18","SOD-882_L1.0-W0.6-BI","-11.303mm","21.717mm","-11.303mm","21.717mm","-11.303mm","22.042mm","B","270","PESD5V0F1BL,315"
"D17","SOD-882_L1.0-W0.6-BI","-11.303mm","23.952mm","-11.303mm","23.947mm","-11.303mm","24.272mm","B","270","PESD5V0F1BL,315"
"D16","SOD-882_L1.0-W0.6-BI","-9.525mm","29.845mm","-9.525mm","29.845mm","-9.525mm","30.17mm","B","270","PESD5V0F1BL,315"
"D15","SOD-882_L1.0-W0.6-BI","-11.43mm","29.921mm","-11.43mm","29.916mm","-11.43mm","30.241mm","B","270","PESD5V0F1BL,315"
"D14","SOD-882_L1.0-W0.6-BI","-10.16mm","25.73mm","-10.16mm","25.725mm","-10.16mm","26.05mm","B","270","PESD5V0F1BL,315"
"D13","SOD-882_L1.0-W0.6-BI","-11.43mm","27.051mm","-11.43mm","27.051mm","-11.43mm","27.376mm","B","270","PESD5V0F1BL,315"
"D12","SOD-882_L1.0-W0.6-BI","-5.08mm","4.953mm","-5.08mm","4.953mm","-5.08mm","5.278mm","T","270","PESD5V0F1BL,315"
"D11","SOD-882_L1.0-W0.6-BI","0.381mm","5.029mm","0.381mm","5.024mm","0.381mm","5.349mm","T","270","PESD5V0F1BL,315"
"D10","SOD-882_L1.0-W0.6-BI","15.875mm","4.572mm","15.875mm","4.572mm","15.55mm","4.572mm","T","0","PESD5V0F1BL,315"
"D9","SOD-882_L1.0-W0.6-BI","25.908mm","4.318mm","25.908mm","4.318mm","26.233mm","4.318mm","T","180","PESD5V0F1BL,315"
"D8","SOD-882_L1.0-W0.6-BI","23.952mm","4.318mm","23.947mm","4.318mm","23.622mm","4.318mm","T","0","PESD5V0F1BL,315"
"D7","SOD-882_L1.0-W0.6-BI","30.861mm","5.588mm","30.861mm","5.588mm","30.861mm","5.913mm","T","270","PESD12VV1BL,315"
"D6","DO-214AC_L4.3-W2.7-LS5.3-RD","28.575mm","7.239mm","28.575mm","7.239mm","28.575mm","9.539mm","T","270","1N5819"
"D5","SMA(DO-214AC)_S1","9.652mm","31.75mm","9.652mm","31.75mm","11.752mm","31.75mm","B","0","SS54"
"D4","SMA(DO-214AC)_S1","7.112mm","7.239mm","7.112mm","7.239mm","9.212mm","7.239mm","B","0","SS54"
"D3","SOD-123","-3.429mm","23.622mm","-3.429mm","23.622mm","-3.429mm","21.922mm","B","270","28-32V"
"D2","SOD-123","1.016mm","23.165mm","1.016mm","23.163mm","1.016mm","24.863mm","B","90","BZX84C9V1"
"D1","SMB(DO-214AA)_S1","-6.604mm","19.177mm","-6.604mm","19.177mm","-4.394mm","19.177mm","B","0","SMBJ30"
"C85","0402_C","43.815mm","35.179mm","43.815mm","35.179mm","43.815mm","35.604mm","B","270","47pF"
"C84","0402_C","46.101mm","35.179mm","46.101mm","35.179mm","46.101mm","35.604mm","B","270","47pF"
"C83","0402_C","-6.35mm","30.531mm","-6.35mm","30.524mm","-6.35mm","30.099mm","T","90","47pF"
"C82","0402_C","-5.207mm","30.531mm","-5.207mm","30.524mm","-5.207mm","30.099mm","T","90","47pF"
"C81","0402_C","28.448mm","30.607mm","28.448mm","30.607mm","28.448mm","31.032mm","T","270","47pF"
"C80","0402_C","27.305mm","30.607mm","27.305mm","30.607mm","27.305mm","31.032mm","T","270","47pF"
"C79","0402_C","6.35mm","30.607mm","6.35mm","30.607mm","6.35mm","30.182mm","T","90","47pF"
"C78","0402_C","5.207mm","30.607mm","5.207mm","30.607mm","5.207mm","30.182mm","T","90","47pF"
"C77","0402_C","40.386mm","26.797mm","40.386mm","26.797mm","40.811mm","26.797mm","T","180","47pF"
"C76","0402_C","40.386mm","30.226mm","40.386mm","30.226mm","40.811mm","30.226mm","T","180","47pF"
"C75","0402_C","40.386mm","18.669mm","40.386mm","18.669mm","40.811mm","18.669mm","T","180","47pF"
"C74","0402_C","40.386mm","22.098mm","40.386mm","22.098mm","40.811mm","22.098mm","T","180","47pF"
"C73","0402_C","36.576mm","8.509mm","36.576mm","8.509mm","36.576mm","8.934mm","T","270","47pF"
"C72","0402_C","36.576mm","10.516mm","36.576mm","10.497mm","36.576mm","10.072mm","T","90","47pF"
"C71","0402_C","20.701mm","30.48mm","20.701mm","30.48mm","20.701mm","30.055mm","T","90","47pF"
"C70","0402_C","21.844mm","30.48mm","21.844mm","30.48mm","21.844mm","30.055mm","T","90","47pF"
"C69","0402_C","14.097mm","30.531mm","14.097mm","30.524mm","14.097mm","30.099mm","T","90","47pF"
"C68","0402_C","15.24mm","30.531mm","15.24mm","30.524mm","15.24mm","30.099mm","T","90","47pF"
"C67","1206_C","44.094mm","7.366mm","44.103mm","7.366mm","45.593mm","7.366mm","B","180","10μF"
"C66","1206_C","44.069mm","11.684mm","44.069mm","11.684mm","45.559mm","11.684mm","B","180","10μF"
"C65","0402_C","0mm","19.685mm","0mm","19.685mm","-0.425mm","19.685mm","T","0","47pF"
"C64","0402_C","0mm","20.828mm","0mm","20.828mm","-0.425mm","20.828mm","T","0","47pF"
"C63","0402_C","0.051mm","21.971mm","0.044mm","21.971mm","-0.381mm","21.971mm","T","0","47pF"
"C62","0402_C","0mm","23.114mm","0mm","23.114mm","-0.425mm","23.114mm","T","0","47pF"
"C61","0402_C","0mm","24.257mm","0mm","24.257mm","-0.425mm","24.257mm","T","0","47pF"
"C60","0402_C","0mm","25.4mm","0mm","25.4mm","-0.425mm","25.4mm","T","0","47pF"
"C59","0402_C","-4.064mm","5.08mm","-4.064mm","5.08mm","-4.064mm","5.505mm","T","270","47pF"
"C58","0402_C","-0.635mm","5.08mm","-0.635mm","5.08mm","-0.635mm","5.505mm","T","270","47pF"
"C57","0402_C","32.131mm","5.791mm","32.131mm","5.798mm","32.131mm","6.223mm","B","270","100nF"
